ack 3.4.0-1
wireguard-lts 1.0.20201112-3
wpgtk-git r802.4581cf8-1
xclip 0.13-3
xdotool 3.20160805.1-3
xf86-input-keyboard 1.9.0-3
xf86-video-intel 1:2.99.917+910+g67f15b36-1
xf86-video-vesa 2.5.0-1
xfce4-settings 4.14.3-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.9-3
xorg-server-common 1.20.9-3
xorg-server-devel 1.20.9-3
xorg-server-xdmx 1.20.6-1
xorg-server-xephyr 1.20.9-3
xorg-server-xnest 1.20.9-3
xorg-server-xvfb 1.20.9-3
xorg-server-xwayland 1.20.9-3
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-twm 1.0.11-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xclock 1.0.9-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.4-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xsel 1.2.0.20190821-1
xterm 362-1
yadm-git 2.4.0.r0.gdd86c8a-1
yay 9.4.2-1
zoom 5.1.418436.0628-1
zotero 5.0.81-1
zsh 5.8-1
zsh-completions 0.32.0-1
zsh-manydots-magic r11-1
